"company_name","salary_hour_avg"
"Motion Recruitment","95.0"
"Cypress HCM","55.0"
"Insight Global","67.5"
"Uline","28.5"
"VeeAR Projects Inc.","52.5"
"Insight Global","80.0"
"Brains Technology Solution","62.5"
"TheDriveGroup","20.0"
"Martin Street Inc","57.5"
"Crossover","15.0"
"Gravity IT Resources","85.0"
"Talent Software Services, Inc.","93.88999938964844"
"Talent4health","48.040000915527344"
"Genesis10","57.5"
"STAND 8 Technology Services","55.0"
"aKube Inc","84.5"
"TALENT Software Services","67.5"
"Aditi Consulting","66.5"
"Hired by Matrix, Inc.","65.0"
"eTeam","42.5"
"Innova Solutions","65.0"
"Kforce","71.5"
"Prime Team Partners","72.5"
"neteffects","75.0"
"Robert Half","60.0"
"TEKsystems","88.5"
"Yorkshire Global Solutions Inc.","55.0"
"Robert Half","75.0"
"Systemart, LLC","46.5"
"Swoon","74.0"
"New England Biolabs","56.47500228881836"
"Buzzclan","60.0"
"Upwork","100.0"
"Innova Solutions","85.0"
"Akkodis","62.5"
"Brooksource","55.0"
"Robert Half","44.40999984741211"
"Robert Half","67.5"
"Brooksource","67.0"
"Apex Systems","67.5"
"TEKsystems","80.0"
"N9 it solutions","47.93499755859375"
"Kforce","60.0"
"Advantage Technical","30.0"
"Randstad Sourceright","87.5"
"arche group","42.5"
"Upwork","33.5"
"Medasource","52.0"
"Intelliswift Software Inc","84.51000213623047"
"KellyMitchell Group","62.900001525878906"
"Gravity IT Resources","60.0"
"Upwork","30.0"
"Advantis Global","70.0"
"Brooksource","57.0"
"Sunrise Systems, Inc","50.0"
"Yorkshire Global Solutions Inc.","55.0"
"Robert Half","57.5"
"Robert Half","64.06500244140625"
"Archon Resources","65.0"
"Cypress HCM","55.0"
"Motion Recruitment","68.5"
"Robert Half","51.5"
"StaffChase","52.0"
"CRG","70.0"
"Insight Global","55.0"
"Alybyte Inc.","55.0"
"Mindlance","47.5"
"The Select Group","54.0"
"Kaizer Software Solutions","52.5"
"HStechnologies LLC","47.5"
"Kforce","86.0"
"Insight Global","48.5"
"Apex Systems","45.0"
"Avance Consulting","62.5"
"Gravity IT Resources","42.5"
"Aditi Consulting","67.5"
"EPITEC","52.0"
"Insight Global","42.5"
"HireTalent, LLC","75.0"
"Tekaccel, Inc","90.0"
"Randstad","8.5"
"Insight Global","57.5"
"Net2Source Inc.","67.5"
"Nextogen Inc.","62.5"
"ConsultNet","62.5"
"Brooksource","70.0"
"High5","55.0"
"Planet Technology","66.0"
"EPITEC","80.0"
"Simplelogix","65.5"
"Capital Staffing Solutions","35.0"
"Applicantz","60.0"
"Beacon Hill Technologies","72.5"
"Visionaire Partners","53.5"
"GEI Consultants Inc","52.880001068115234"
"INTELETECH GLOBAL INC","70.0"
"Stanford Health Care","59.0"
"Jobot","65.0"
"Strategic Staffing Solutions","72.5"
"Computer Merchant, Ltd., The","89.0"
"Connexion Systems & Engineering","79.0"
"HireGenics","83.0"
"Motion Recruitment","67.5"
"Upwork","11.5"
"Advantis Global","62.5"
"Mastech Digital","72.5"
"Workforce Opportunity Services","30.0"
"Motion Recruitment","67.5"
"Zelis Healthcare, LLC","54.42000198364258"
"LMI Consulting, LLC","61.159996032714844"
"Allspring Global Investments","50.96500015258789"
"Allspring Global Investments","50.96500015258789"
"Aditi Consulting","52.5"
"Harnham","70.0"
"Avance Consulting","65.0"
"TekWissen ®","62.5"
"VHL Technologies","55.0"
"Centennial College","45.76499938964844"
"PRI Technology","80.0"
"The Brixton Group, Inc.","75.0"
"Insight Global","59.5"
"Flexton Inc.","79.0"
"Brooksource","28.0"
"ETeam Inc","57.5"
"Booz Allen Hamilton","61.159996032714844"
"Brooksource","57.5"
"Upwork","40.0"
"Harvey Nash USA","68.0"
"BayOne Solutions","100.0"
"SVS TECHNOLOGIES","60.0"
"Robert Half","65.5"
"Stefanini","62.5"
"TekIntegral Inc","72.0"
"TEKsystems","42.5"
"DataPattern LLC","54.42000198364258"
"Mondo","59.0"
"Upwork","13.0"
"Aditi Consulting","69.5"
"Upwork","45.0"
"HCLTech","64.44000244140625"
"Millennium Software, Inc.","42.19499969482422"
"RIT Solutions, Inc.","70.0"
"Harnham","70.0"
"Robert Half","62.5"
"RedStream Technology","85.0"
"Uline","29.0"
"Insight Global","71.0"
"Uline","28.5"
"Octo Consulting Group","61.159996032714844"
"Interactive Resources - iR","70.0"
"Agility Partners","57.5"
"New Millennium Consulting","72.5"
"LiveHire","65.0"
"Compri Consulting","76.0"
"Unique System Skills LLC","55.0"
"Braintrust","80.0"
"Ghritachi Inc","45.0"
"Pinnacle Group, Inc.","77.5"
"Braintrust","80.0"
"Pyramid Consulting, Inc","62.5"
"Kforce Technology Staffing","42.5"
"Eliassen Group","57.5"
"Robert Half","68.33999633789062"
"Akkodis","62.5"
"Oak Technologies, Inc.","62.5"
"Yorkshire Global Solutions Inc.","55.0"
"aKube Inc","85.0"
"EPITEC","51.0"
"Genoa Employment Solutions","55.0"
"Braintrust","80.0"
"Actalent","51.0"
"Net2Source Inc.","57.5"
"Apolis","57.5"
"Aditi Consulting","42.5"
"The Panther Group Inc.","88.0"
"SPECTRAFORCE","52.5"
"Apex Systems","42.5"
"Robert Half","50.0"
"Brothers Consulting","55.0"
"Robert Half","49.0"
"Brooksource","47.5"
"Yorkshire Global Solutions Inc.","55.0"
"JustinBradley","62.5"
"Ascendion","62.5"
"Intelliswift Software","84.51000213623047"
"Lucas Group","82.5"
"Informatic Technologies, Inc.","64.0"
"Evolution Recruitment Solutions, USA","45.0"
"Apex Systems","42.5"
"BCforward","65.0"
"TekWissen","64.0"
"Robert Half","59.785003662109375"
"Brooksource","60.0"
"Aditi Consulting","94.0"
"QED National","67.5"
"People, Data & Solutions","50.0"
"SPECTRAFORCE TECHNOLOGIES Inc.","60.0"
"Brooksource","55.0"
"Upwork","10.0"
"TEKsystems","67.5"
"Motion Recruitment","75.0"
"Presidio, Inc.","44.75"
"VanderHouwen","80.0"
"Colgate-Palmolive Company","24.0"
"I Site Technologies","65.0"
"Applicantz","55.0"
"Sunrise Systems, Inc","50.0"
"CTG - Computer Task Group","65.0"
"Element6Talent","70.0"
"Kavaliro","78.0"
"Kforce Technology Staffing","55.0"
"PRI Technology","80.0"
"StreetID","72.5"
"NIMIR CORPORATION","62.0"
"Insight Global","50.0"
"Pyramid Consulting, Inc","60.0"
"Upwork","117.5"
"Collabera LLC","65.0"
"Revel IT","60.0"
"N9 IT SOLUTIONS","42.0"
"Brooksource","70.0"
"Robert Half","46.974998474121094"
"STAND 8 Technology Services","55.0"
"BlueCloud","67.5"
"Hays","61.0"
"Vkantech solutions","55.0"
"Brooksource","97.5"
"Adaptive Solutions Group","69.0"
"Aditi Consulting","65.0"
"Cybersearch, Ltd.","44.0"
"QED National","83.5"
"Insight Global","62.5"
"Yoh, A Day & Zimmermann Company","60.0"
"Srinav Inc.","65.0"
"Primary Talent Partners","55.0"
"Apex Systems","60.0"
"ZENOTIS TECHNOLOGY PVT LTD","72.5"
"ARK Infotech Spectrum","72.5"
"SGA Inc.","70.0"
"Yorkshire Global Solutions Inc.","55.0"
"Braintrust","80.0"
"Motion Recruitment","70.0"
"Pyramid Consulting, Inc","40.0"
"Ascendion Inc.","62.5"
"Collabera LLC","50.5"
"Itoc","20.0"
"Techtronic Industries (TTI)","20.0"
"360itservices","20.0"
"Kastel Staffing Group","65.0"
"PageUp People","20.0"
"CoreLogic","20.0"
"IBM","20.0"
"Bookipi","20.0"
"ED - Group Support Functions","20.0"
"ANZ Banking Group","20.0"
"TalentRupt Inc.","77.5"
"Robert Half","45.0"
"Resource Logistics Inc.","60.0"
"Motion Recruitment","55.0"
"Hired by Matrix, Inc.","65.0"
"FocusKPI Inc.","50.0"
"Software Guidance & Assistance","78.0"
"Australian Military Bank","20.0"
"Future Vision 360","62.5"
"Kforce Technology Staffing","60.0"
"Market Ads","35.0"
"Brooksource","67.0"
"Coles Supermarkets","20.0"
"DXC Technology","20.0"
"Itoc","20.0"
"eTeam Inc.","57.5"
"Mondo","59.0"
"Applicantz","65.5199966430664"
"University of Toronto","55.0"
"Uline","33.5"
"Virtusa","85.0"
"SPECTRAFORCE","85.0"
"Agility Partners","49.0"
"VLink Inc","69.0"
"Insight Global","57.5"
"PrimaSoft Inc","60.0"
"Infojini Inc","72.0"
"Harnham","55.0"
"Mican Technologies","52.5"
"SPECTRAFORCE","57.5"
"Vertisystem","95.0"
"Revel IT","63.5"
"Devcare Solutions","55.0"
"Alybyte Inc.","57.5"
"Aditi Consulting","60.0"
"LeadStack Inc.","56.5"
"Lennar Corporation","52.40999984741211"
"Apex Systems","80.0"
"Marathon TS","60.0"
"Eliassen Group","72.5"
"Stefanini","82.0"
"Motion Recruitment","60.5"
"Brooksource","61.5"
"Cisco Systems, Inc.","54.130001068115234"
"Kforce","56.83000183105469"
"Intelliswift Software","63.4900016784668"
"Akkodis","45.0"
"Insight Global","65.0"
"Crystal Equation Corporation","77.5"
"VanderHouwen","80.0"
"Robert Half","42.0"
"HireVergence","54.0"
"Reveille Technologies","55.0"
"avansait","66.5"
"EPITEC","65.0"
"Aditi Consulting","37.5"
"Agility Partners","52.5"
"STAND 8 Technology Services","67.5"
"Collabera LLC","57.5"
"Agility Partners","67.5"
"Insight Global","55.0"
"T-Stone Technologies Inc","65.0"
"Comtech LLC","52.0"
"Yorkshire Global Solutions Inc.","55.0"
"Revolution Technologies","67.5"
"Insight Global","65.0"
"Umanist Staffing LLC","70.0"
"Brooksource","67.5"
"Robert Half","52.5"
"Insight Global","48.5"
"eThanda Technologies","55.0"
"Comcentia","37.5"
"LanceSoft Inc.","55.0"
"Upwork","88.0"
"Hays","69.0"
"Staffing","77.5"
"Brooksource","47.5"
"Insight Global","70.0"
"PT Kamoro Maxima Integra","20.0"
"Yorkshire Global Solutions Inc.","55.0"
"Yorkshire Global Solutions Inc.","55.0"
"Ampcus Inc","65.0"
"Harnham","75.0"
"Wright Technical Services","100.0"
"Carecone","20.0"
"Robert Half","51.0"
"Flex Employee Services","67.5"
"Agility Partners","55.0"
"Agility Partners","55.0"
"Harnham","67.5"
"Brooksource","50.0"
"Sunrise Systems Inc","70.0"
"ETalentNetwork","60.0"
"Apex Systems","62.5"
"Russell Tobin","54.99500274658203"
"Motion Recruitment","90.0"
"Brooksource","60.0"
"Insight Global","50.0"
"EG America LLC","49.084999084472656"
"A-Line Staffing Solutions","38.290000915527344"
"Robert Half","28.0"
"Pyramid Consulting, Inc","62.5"
"Modis","65.0"
"Lawrence Harvey","57.5"
"TEKsystems","38.5"
"Insight Global","55.0"
"RIIM","55.0"
"Upwork","12.5"
"Agility Partners","53.5"
"High Bridge Consulting","47.5"
"Korn Ferry","82.5"
"Insight Global","65.0"
"Yorkshire Global Solutions Inc.","55.0"
"Collabera","47.5"
"DataAffect","50.0"
"Eastridge","57.5"
"PamTen Inc","55.0"
"Insight Global","80.0"
"Upwork","40.0"
"Apex Systems","72.0"
"Experis","68.5"
"Insight Global","45.0"
"Upwork","12.5"
"Upwork","12.5"
"Insight Global","69.0"
"Robert Half","82.5"
"STAND 8","55.0"
"Direct Source","94.47999572753906"
"American Technology Consulting LLC","55.0"
"Leadstack Inc","75.0"
"Professional Project Partners, Inc. (P3)","62.5"
"Brivo Systems, LLC","61.159996032714844"
"Aditi Consulting","56.0"
"Brooksource","60.0"
"Upwork","13.5"
"arche group","45.0"
"Palladium","61.159996032714844"
"Sinclair Broadcast Group","56.7400016784668"
"Motion Recruitment","96.5"
"EPITEC","57.5"
"Innova Solutions, Inc.","75.0"
"Synergy Interactive","67.5"
"Signify Technology","60.0"
"Zelis Healthcare, LLC","54.42000198364258"
"Robert Half","50.0"
"Harnham","70.0"
"Linkfields Innovations (Pty) Ltd","57.5"
"Intelliswift Software","61.5"
"The Select Group","45.0"
"NextDeavor Services","71.59500122070312"
"The Intersect Group","61.5"
"Intelliswift Software","62.560001373291016"
"Robert Half","69.36500549316406"
"Intelliswift Software","62.560001373291016"
"Atlantic Partners Corporation","100.0"
"Insight Global","45.0"
"Kaizen Analytix","55.0"
"SGA Inc.","93.0"
"Donatech Corporation","69.5"
"LMI Consulting, LLC","54.42000198364258"
"Robert Half","65.5"
"Modis","62.5"
"TalentBurst, an Inc 5000 company","60.0"
"Virtusa","82.5"
